model,Entite,Famille,mape,mase,mae,mse,best_model
auto_arima,Entite 1,F1,24.40853317194974,0.6648610759571927,0.14743723989520569,0.04493928773825077,ARIMA(0 0 1)(2 1 0)[7]
auto_arima,Entite 2,F1,146.60225390154235,0.5382715802549001,0.09676771602458309,0.02091167127141369,ARIMA(0 0 2)(0 1 1)[7]
auto_arima,Entite 5,F1,5.305540888744292,0.5585571035176115,0.04463600081108259,0.004837525053502508,ARIMA(2 0 0)(2 1 0)[7]
auto_arima,Entite 1,F2,7.038791517035661,0.3891572690188843,0.054395013994375026,0.003781317003386547,ARIMA(1 0 3)(0 1 1)[7]
auto_arima,Entite 2,F2,21.24701200826852,0.6148559581730912,0.07504269919547558,0.00858769320752122,ARIMA(1 0 3)(1 1 1)[7]
auto_arima,Entite 3,F2,24.454094407783206,0.777828386221824,0.1355197745007738,0.032717191456425564,ARIMA(1 0 3)(0 1 1)[7] intercept
auto_arima,Entite 5,F2,15.35113479888755,1.2353526154210672,0.0910354623801055,0.01129906087024122,ARIMA(1 0 3)(0 1 1)[7] intercept
auto_arima,Entite 1,F3,179.39173886352017,0.6016990961850063,0.1242561771713925,0.031184858632221913,ARIMA(3 0 0)(2 1 0)[7]
auto_arima,Entite 2,F3,894.2121611208481,0.732536889162827,0.1544618318684356,0.04183933337013807,ARIMA(3 0 0)(2 1 0)[7]
auto_arima,Entite 5,F3,311.4855161085685,0.8372103035236695,0.12891740959051987,0.04306939894326538,ARIMA(1 0 1)(2 1 0)[7]
auto_arima,Entite 1,F5,428.6644938392425,0.8887320226790981,0.15774845308108093,0.034859701648945675,ARIMA(1 0 1)(0 1 1)[7]
auto_arima,Entite 3,F5,19.3959742469376,0.5603718788717348,0.07834818495245832,0.009680470573681266,ARIMA(1 0 2)(0 1 2)[7]
auto_arima,Entite 4,F5,143.66310095816294,0.8010184983815727,0.18800966001943994,0.05802967426920445,ARIMA(1 0 1)(0 1 1)[7] intercept
auto_arima,Entite 5,F5,45.19887514414375,0.8817716580859782,0.14249208536162808,0.035327499034233156,ARIMA(0 0 3)(0 1 1)[7] intercept
auto_arima,Entite 1,F6,157.93432360284416,0.5889385603712047,0.09422991132045527,0.01479411189505981,ARIMA(2 0 3)(0 1 1)[7] intercept
auto_arima,Entite 5,F6,114.59296970738133,0.5974433936857638,0.09185385115889241,0.014083141923816482,ARIMA(1 0 1)(0 1 1)[7] intercept
auto_arima,Entite 1,F7,2.1040300474326035,0.2925308281784219,0.015933878428794106,0.0004949620292494431,ARIMA(0 0 3)(0 1 1)[7]
auto_arima,Entite 3,F7,336.5322996938899,1.1663023989350982,0.1600188192769367,0.03935598406938812,ARIMA(1 0 3)(0 1 1)[7]
auto_arima,Entite 4,F7,301.3327310555414,0.6643423037603389,0.10326204635853306,0.01894236036671675,ARIMA(0 0 2)(0 1 1)[7] intercept
auto_arima,Entite 5,F7,21.482742126869205,0.5924535378481997,0.09225125965397517,0.019314851319591077,ARIMA(0 0 1)(0 1 1)[7]
