Entite,Famille,ApEn
Entite 1,F2,1.030589788760555
Entite 2,F2,0.9600263238075466
Entite 3,F2,1.3775643088575915
Entite 5,F2,0.9910135210701139
Entite 4,F2,0.0
Entite 1,F3,1.2770676757948203
Entite 2,F3,1.3007261576772522
Entite 3,F3,0.0
Entite 5,F3,1.2827239802006947
Entite 4,F3,0.0
Entite 1,F5,1.3653377680472363
Entite 2,F5,0.0
Entite 3,F5,1.259909624172709
Entite 5,F5,1.167509096583784
Entite 4,F5,1.3653478341618603
Entite 1,F6,1.105922045308481
Entite 2,F6,0.0
Entite 3,F6,0.0
Entite 5,F6,1.2317574109257676
Entite 4,F6,0.0
Entite 1,F7,0.9680274772089161
Entite 2,F7,0.0
Entite 3,F7,1.212698004431168
Entite 5,F7,1.0022246227749392
Entite 4,F7,1.405285008476623
Entite 1,F1,0.8908149297192454
Entite 2,F1,1.1799186651564897
Entite 3,F1,0.0
Entite 5,F1,1.3828145260218685
Entite 4,F1,0.010884363163204958
Entite 1,F4,0.48027554767299674
Entite 2,F4,0.0
Entite 3,F4,0.0
Entite 5,F4,0.0
Entite 4,F4,0.0
