model,Entite,Famille,mape,mase,mae,mse
Prophet,Entite 1,F1,27.305170938912603,0.762632597853725,0.16911870667084,0.04685018905788051
Prophet,Entite 2,F1,184.20673220006623,0.6967091888739041,0.12525082024345618,0.027600386034778455
Prophet,Entite 5,F1,6.495787029779998,0.7101553343229751,0.05675067755688382,0.00518141825762701
Prophet,Entite 1,F2,34.62210841601999,2.0333286165892113,0.28421141620552937,0.11103937926705601
Prophet,Entite 2,F2,22.983963244166976,0.9537711101025336,0.11640703414410146,0.021028185286179942
Prophet,Entite 3,F2,24.166023636742395,0.8159027438603156,0.14215340789964367,0.034679376853405025
Prophet,Entite 5,F2,12.459917822104263,1.127388722545977,0.08307939964502156,0.008483597308942452
Prophet,Entite 1,F3,244.31094364385268,0.48991223536246253,0.10117120318378171,0.022736258231782328
Prophet,Entite 2,F3,146.8185131533818,0.8300093798191596,0.1750147619478511,0.04698536088848732
Prophet,Entite 5,F3,502.8650989609531,1.0632744450939313,0.16372778329218407,0.044736300251690855
Prophet,Entite 1,F5,256.91290088571407,0.8666641752480091,0.15383144693496553,0.03023616901035537
Prophet,Entite 3,F5,20.451212860494227,0.8679211646517545,0.12134807347792241,0.02196847144895794
Prophet,Entite 4,F5,80.79967343484216,0.9827178195307935,0.2306568993329507,0.07707053444644049
Prophet,Entite 5,F5,36.07034163495242,0.8170706280431407,0.13203656140448325,0.02692343925438563
Prophet,Entite 1,F6,187.54446044613462,0.5157798457647376,0.08252454907461962,0.012360071062821094
Prophet,Entite 5,F6,72.42296423711889,0.5410791496869121,0.08318813833375886,0.009733519103767322
Prophet,Entite 1,F7,3.1384642205418576,0.4556651198270081,0.02481964950079407,0.0009775449686291984
Prophet,Entite 3,F7,251.5479930846972,1.2323940096001211,0.16908670897036807,0.0363885605504419
Prophet,Entite 4,F7,232.17099485979736,0.7618321345365373,0.11841537826004783,0.02240404407209203
Prophet,Entite 5,F7,24.913799524458117,0.6602162255397287,0.10280262427201241,0.01762324935656095
